阿尔巴尼亚,AL,8,sq,,,
阿尔及利亚,DZ,12,ar,,,
阿富汗,AF,4,fa,ps,,
阿根廷,AR,32,es,,,
阿联酋,AE,784,ar,,,
阿鲁巴,AW,533,nl,,,
阿曼,OM,512,ar,,,
阿塞拜疆,AZ,31,az,,,
埃及,EG,818,ar,,,
埃塞俄比亚,ET,231,am,en,,
爱尔兰,IE,372,ga,en,,
爱沙尼亚,EE,233,et,,,
安道尔,AD,20,ca,,,
安哥拉,AO,24,pt,,,
安圭拉,AI,660,en,,,
安提瓜和巴布达,AG,28,en,,,
奥地利,AT,40,de,,,
奥兰群岛,AX,248,sv,,,
澳大利亚,AU,36,en,,,
中国澳门（地区）,MO,446,zh-Hant,zh,,
巴巴多斯,BB,52,en,,,
巴布亚新几内亚,PG,598,en,tp,ho,
巴哈马,BS,44,en,,,
巴基斯坦,PK,586,ur,en,,
巴拉圭,PY,600,es,gn,,
巴勒斯坦,PS,275,ar,,,
巴林,BH,48,ar,,,
巴拿马,PA,591,es,,,
巴西,BR,76,pt,,,
白俄罗斯,BY,112,be,ru,,
百慕大,BM,60,en,,,
保加利亚,BG,100,bg,,,
北马里亚纳群岛,MP,580,en,ch,,
贝宁,BJ,204,fr,,,
比利时,BE,56,nl,fr,de,
秘鲁,PE,604,es,,,
冰岛,IS,352,is,,,
波多黎各,PR,630,es,en,,
波黑,BA,70,bs,sr,hr,
波兰,PL,616,pl,,,
玻利维亚,BO,68,es,qu,ay,gn
伯利兹,BZ,84,en,,,
博茨瓦纳,BW,72,en,tn,,
不丹,BT,64,dz,,,
布基纳法索,BF,854,fr,,,
布隆迪,BI,108,rn,fr,en,
布韦岛,BV,74,en,,,
朝鲜 北朝鲜,KP,408,ko,,,
赤道几内亚,GQ,226,es,fr,pt,
丹麦,DK,208,da,,,
德国,DE,276,de,,,
东帝汶,TL,626,pt,tet,,
多哥,TG,768,fr,,,
多米尼加,DO,214,es,,,
多米尼克,DM,212,en,,,
俄罗斯,RU,643,ru,,,
厄瓜多尔,EC,218,es,,,
厄立特里亚,ER,232,ar,en,ti,
法国,FR,250,fr,,,
法罗群岛,FO,234,fo,,,
法属波利尼西亚,PF,258,fr,ty,,
法属圭亚那,GF,254,fr,ht,,
法属南部领地,TF,260,fr,,,
法属圣马丁,MF,663,fr,,,
梵蒂冈,VA,336,la,it,,
菲律宾,PH,608,tl,en,fil,
斐济群岛,FJ,242,en,fj,ur,
芬兰,FI,246,fi,sv,,
佛得角,CV,132,pt,,,
冈比亚,GM,270,en,,,
刚果（布）,CG,178,fr,,,
刚果（金）,CD,180,fr,,,
哥伦比亚,CO,170,es,,,
哥斯达黎加,CR,188,es,,,
格林纳达,GD,308,en,,,
格陵兰,GL,304,kl,da,,
格鲁吉亚,GE,268,ka,,,
根西岛,GG,831,en,fr,,
古巴,CU,192,es,,,
瓜德罗普,GP,312,fr,ht,,
关岛,GU,316,en,ch,,
圭亚那,GY,328,en,,,
哈萨克斯坦,KZ,398,kk,ru,,
海地,HT,332,fr,ht,,
韩国 南朝鲜,KR,410,ko,,,
荷兰,NL,528,nl,,,
荷兰加勒比区,BQ,535,nl,,,
赫德岛和麦克唐纳群岛,HM,334,en,,,
黑山,ME,499,hr,cnr,,
洪都拉斯,HN,340,es,,,
基里巴斯,KI,296,en,gil,,
吉布提,DJ,262,fr,ar,,
